"depth","mean_age","median_age","lo95","hi95","ci_width","acc_rate","sed_rate"
9,631.90164,650.6105,561.6218,706.970575,145.348775,22.184551881,0.121896935542175
10,654.086191881,665.910315,573.6874905,732.770421,159.0829305,22.184551881,0.121896935542175
11,676.270743762,680.01936,580.276926,787.17467,206.897744,22.184551881,0.121896935542175
12,698.455295643,694.346775,583.971493,846.98366,263.012167,22.184551881,0.121896935542175
13,720.639847524,711.32798,587.636262,905.690373,318.054111,22.184551881,0.121896935542175
14,742.824399405,728.6743,591.7346,970.02125,378.28665,22.184551881,0.121896935542175
15,765.008951286,746.5343,595.05018,1036.27065,441.22047,22.184551881,0.121896935542175
16,787.193503167,764.9381,597.66471,1100.1552475,502.4905375,22.184551881,0.121896935542175
17,809.378055048,783.288,600.711716,1162.210575,561.498859,22.184551881,0.121896935542175
18,831.562606929,801.03785,604.63296875,1226.88081,622.24784125,22.184551881,0.121896935542175
19,853.74715881,819.1695,608.132005,1294.477,686.344995,20.005244328775,0.145858167811966
20,873.752403138775,840.366265,625.5221155,1311.754795,686.2326795,20.005244328775,0.145858167811966
21,893.75764746755,862.0738,638.551835,1329.91987,691.368035,20.005244328775,0.145858167811966
22,913.762891796325,882.4949,651.034785925,1350.5609725,699.526186575,20.005244328775,0.145858167811966
23,933.7681361251,904.7083,662.8517515,1376.246136,713.3943845,20.005244328775,0.145858167811966
24,953.773380453875,926.339275,671.857287125,1396.7317,724.874412875,20.005244328775,0.145858167811966
25,973.77862478265,948.23603,678.6022275,1419.70477,741.1025425,20.005244328775,0.145858167811966
26,993.783869111425,968.09487,686.98092675,1444.0176925,757.03676575,20.005244328775,0.145858167811966
27,1013.7891134402,988.37805,695.503953,1474.588695,779.084742,20.005244328775,0.145858167811966
28,1033.79435776898,1006.0774,700.846743925,1506.5114175,805.664673575,20.005244328775,0.145858167811966
29,1053.79960209775,1024.787385,707.7447475,1548.72725,840.9825025,20.76684820075,0.139495715789906
30,1074.5664502985,1045.53195,725.28054575,1568.50557225,843.2250265,20.76684820075,0.139495715789906
31,1095.33329849925,1065.96325,750.9004671,1582.706884,831.8064169,20.76684820075,0.139495715789906
32,1116.1001467,1088.389005,764.964845,1600.16586225,835.20101725,20.76684820075,0.139495715789906
33,1136.86699490075,1111.641,776.3901126,1616.7866525,840.3965399,20.76684820075,0.139495715789906
34,1157.6338431015,1134.232825,787.94909875,1635.97443875,848.02534,20.76684820075,0.139495715789906
35,1178.40069130225,1155.00619,796.045844,1660.37626,864.330416,20.76684820075,0.139495715789906
36,1199.167539503,1177.15484,804.36043175,1684.36431475,880.003883,20.76684820075,0.139495715789906
37,1219.93438770375,1197.42574,813.215895,1707.513945,894.29805,20.76684820075,0.139495715789906
38,1240.7012359045,1219.31645,823.824912,1731.6647675,907.8398555,20.76684820075,0.139495715789906
39,1261.46808410525,1241.568,830.1488825,1770.212295,940.0634125,22.6430354445,0.137843779474652
40,1284.11111954975,1261.159755,854.0070905,1785.17651875,931.16942825,22.6430354445,0.137843779474652
41,1306.75415499425,1286.66988,878.09022,1802.716025,924.625805,22.6430354445,0.137843779474652
42,1329.39719043875,1311.90285,897.54600775,1818.45363725,920.9076295,22.6430354445,0.137843779474652
43,1352.04022588325,1335.19761,910.582148,1835.288804,924.706656,22.6430354445,0.137843779474652
44,1374.68326132775,1362.3874,923.819535625,1861.5140125,937.694476875,22.6430354445,0.137843779474652
45,1397.32629677225,1388.01359,931.293158,1887.52199,956.228832,22.6430354445,0.137843779474652
46,1419.96933221675,1410.30382,940.32180625,1914.704765,974.38295875,22.6430354445,0.137843779474652
