"depth","mean_age","median_age","lo95","hi95","ci_width","acc_rate","sed_rate"
4.5,1383.82137058661,1371.485275,1314.4467395,1523.58346375,209.13672425,14.700351173225,0.155442232415074
5.5,1398.52172175984,1385.8627425,1323.401912375,1544.2836725,220.881760125,14.700351173225,0.155442232415074
6.5,1413.22207293306,1401.231225,1331.16232125,1569.72742,238.56509875,14.700351173225,0.155442232415074
7.5,1427.92242410629,1416.351575,1337.791338,1590.6805355,252.8891975,14.700351173225,0.155442232415074
8.5,1442.62277527951,1430.49715,1344.63749075,1605.5713,260.93380925,14.700351173225,0.155442232415074
9.5,1457.32312645274,1445.599625,1349.774851375,1630.802471,281.027619625,14.700351173225,0.155442232415074
10.5,1472.02347762596,1460.02305,1355.470401125,1656.15352875,300.683127625,14.700351173225,0.155442232415074
11.5,1486.72382879919,1475.001625,1357.88110875,1683.49975,325.61864125,14.700351173225,0.155442232415074
12.5,1501.42417997241,1489.7212175,1361.62104325,1707.33555,345.71450675,14.700351173225,0.155442232415074
13.5,1516.12453114564,1504.321025,1365.3106205,1735.3706925,370.060072,14.700351173225,0.155442232415074
14.5,1530.82488231886,1518.228375,1367.7453695,1762.35413,394.6087605,14.700351173225,0.155442232415074
15.5,1545.52523349209,1532.1554,1370.66378725,1796.5290825,425.86529525,14.700351173225,0.155442232415074
16.5,1560.22558466531,1545.49625,1373.400416875,1829.11334375,455.712926875,14.700351173225,0.155442232415074
17.5,1574.92593583854,1558.774475,1375.1149781875,1865.83555,490.7205718125,14.700351173225,0.155442232415074
18.5,1589.62628701176,1572.45435,1377.400075125,1900.49829125,523.098216125,14.700351173225,0.155442232415074
19.5,1604.32663818499,1584.334175,1378.754282375,1933.28415,554.529867625,14.700351173225,0.155442232415074
20.5,1619.02698935821,1596.80445,1380.774563625,1965.15345,584.378886375,14.700351173225,0.155442232415074
21.5,1633.72734053144,1609.3501375,1382.97534375,1997.96010625,614.9847625,14.700351173225,0.155442232415074
22.5,1648.42769170466,1621.814225,1384.812510875,2031.9850475,647.172536625,14.700351173225,0.155442232415074
23.5,1663.12804287789,1634.73585,1387.635124625,2067.60473875,679.969614125,14.700351173225,0.155442232415074
24.5,1677.83970863301,1649.514635,1398.33832625,2085.774417375,687.436091125,14.722980337025,0.156220562901454
25.5,1692.56268897004,1666.1255,1416.85113,2088.450350625,671.599220625,14.722980337025,0.156220562901454
26.5,1707.28566930706,1683.7592875,1436.925724375,2091.1156125,654.189888125,14.722980337025,0.156220562901454
27.5,1722.00864964409,1700.58905,1451.614019,2095.7202,644.106181,14.722980337025,0.156220562901454
28.5,1736.73162998111,1716.914675,1461.550284375,2100.654771,639.104486625,14.722980337025,0.156220562901454
29.5,1751.45461031814,1734.7716175,1465.967311625,2106.129675,640.162363375,14.722980337025,0.156220562901454
30.5,1766.17759065516,1752.3114,1473.67492375,2110.47012275,636.795199,14.722980337025,0.156220562901454
