"depth","mean_age","median_age","lo95","hi95","ci_width","acc_rate","sed_rate"
133,227450.81035,11010.35,10592.8,961182.225,950589.425,182.006813162,0.0244319790222387
134,227632.817163162,11231.756,10696.36128,961279.2834225,950582.9221425,182.006813162,0.0244319790222387
135,227814.823976324,11525.441,10744.85085,961376.341845,950631.490995,182.006813162,0.0244319790222387
136,227996.830789486,11835.455,10778.7255875,961473.4002675,950694.67468,182.006813162,0.0244319790222387
137,228178.837602648,12148.128,10808.55597,961570.45869,950761.90272,182.006813162,0.0244319790222387
138,228360.84441581,12460.59,10841.7139375,961667.5171125,950825.803175,199.65817544625,0.0246419024844459
139,228560.502591256,12750.7115,11083.163235,961673.952878,950590.789643,199.65817544625,0.0246419024844459
140,228760.160766702,13059.0365,11210.992603,961680.3886435,950469.3960405,199.65817544625,0.0246419024844459
141,228959.818942149,13365.616,11318.9442075,961686.824409,950367.8802015,199.65817544625,0.0246419024844459
142,229159.477117595,13680.5135,11401.921985,961693.2601745,950291.3381895,199.65817544625,0.0246419024844459
143,229359.135293041,13994.265,11491.35500875,961699.69594,950208.34093125,241.304441520875,0.0302153377489706
144,229600.439734562,14348.7545,11816.0387025,961742.72439,949926.6856875,241.304441520875,0.0302153377489706
145,229841.744176083,14706.46104,12069.770465,961785.75284,949715.982375,241.304441520875,0.0302153377489706
146,230083.048617604,15051.56205,12265.9455875,961828.59917525,949562.65358775,241.304441520875,0.0302153377489706
147,230324.353059125,15438.28625,12457.8780475,961869.885637,949412.0075895,241.304441520875,0.0302153377489706
148,230565.657500646,15781.91,12599.009825,961911.17209875,949312.16227375,157.5583592343,0.0383779219832429
149,230723.21585988,15964.5225,12793.177655,962014.71314375,949221.53548875,157.5583592343,0.0383779219832429
150,230880.774219114,16165.93725,13005.689675,962118.25418875,949112.56451375,157.5583592343,0.0383779219832429
151,231038.332578349,16380.85775,13163.232445,962221.79523375,949058.56278875,157.5583592343,0.0383779219832429
152,231195.890937583,16597.6022,13314.9878675,962325.33627875,949010.34841125,157.5583592343,0.0383779219832429
153,231353.449296817,16846.023,13421.585475,962428.87732375,949007.29184875,116.33198277225,0.031819953633338
154,231469.781279589,16975.33915,13609.46396,962452.21988625,948842.75592625,116.33198277225,0.031819953633338
155,231586.113262362,17126.646,13759.7610185,962475.56244875,948715.80143025,116.33198277225,0.031819953633338
156,231702.445245134,17272.9535,13881.66588625,962498.90501125,948617.239125,116.33198277225,0.031819953633338
157,231818.777227906,17415.274,13989.7611425,962522.24757375,948532.48643125,116.33198277225,0.031819953633338
158,231935.109210678,17583.287,14107.041925,962545.59013625,948438.54821125,122.21603309325,0.0296069615282809
159,232057.325243772,17725.9585,14278.21235,962553.39173125,948275.17938125,122.21603309325,0.0296069615282809
160,232179.541276865,17888.4719,14477.3765375,962561.19332625,948083.81678875,122.21603309325,0.0296069615282809
161,232301.757309958,18029.184645,14589.5871025,962568.99492125,947979.40781875,122.21603309325,0.0296069615282809
162,232423.973343051,18203.1477,14676.7905525,962576.79651625,947900.00596375,122.21603309325,0.0296069615282809
163,232546.189376145,18381.38225,14758.063825,962584.59811125,947826.53428625,135.17994052475,0.0273481996661283
164,232681.369316669,18515.888,15046.4811375,962633.9422975,947587.46116,135.17994052475,0.0273481996661283
165,232816.549257194,18667.52255,15333.4554375,962682.2711675,947348.81573,135.17994052475,0.0273481996661283
166,232951.729197719,18804.6586,15531.81454125,962730.6000375,947198.78549625,135.17994052475,0.0273481996661283
167,233086.909138244,18979.48055,15699.3926675,962778.701445,947079.3087775,135.17994052475,0.0273481996661283
168,233222.089078768,19156.647,15874.7596125,962826.46657125,946951.70695875,117.410670465,0.0265921343007766
169,233339.499749233,19270.0225,16040.5983625,962850.42944325,946809.83108075,117.410670465,0.0265921343007766
170,233456.910419698,19407.814,16239.3207025,962873.601109,946634.2804065,117.410670465,0.0265921343007766
171,233574.321090163,19552.9855,16414.910795,962896.77277475,946481.86197975,117.410670465,0.0265921343007766
172,233691.731760628,19679.70875,16543.874728375,962919.9444405,946376.069712125,117.410670465,0.0265921343007766
173,233809.142431093,19823.39025,16641.8747,962943.11610625,946301.24140625,121.95815636625,0.0267019696236094
174,233931.10058746,19945.28145,16910.6628,962993.14029375,946082.47749375,121.95815636625,0.0267019696236094
175,234053.058743826,20070.6715,17067.603217,963043.16448125,945975.56126425,121.95815636625,0.0267019696236094
176,234175.016900192,20226.920525,17283.864991625,963093.18866875,945809.323677125,121.95815636625,0.0267019696236094
177,234296.975056558,20378.1705,17455.850676,963143.21285625,945687.36218025,121.95815636625,0.0267019696236094
178,234418.933212925,20523.2325,17624.08901125,963193.23704375,945569.1480325,133.230427317,0.0286242004884055
179,234552.163640242,20642.30695,17934.48049375,963237.49505625,945303.0145625,133.230427317,0.0286242004884055
180,234685.394067559,20783.237,18218.8605875,963281.75306875,945062.89248125,133.230427317,0.0286242004884055
181,234818.624494876,20922.4375,18451.15177125,963326.01108125,944874.85931,133.230427317,0.0286242004884055
182,234951.854922193,21078.73102,18611.3731125,963370.26909375,944758.89598125,133.230427317,0.0286242004884055
183,235085.08534951,21245.62575,18773.56185,963414.52710625,944640.96525625,111.48099558125,0.0285643607327853
184,235196.566345091,21361.607925,18997.9530625,963547.68627375,944549.73321125,111.48099558125,0.0285643607327853
185,235308.047340672,21461.1471,19211.6956525,963680.84544125,944469.14978875,111.48099558125,0.0285643607327853
186,235419.528336253,21584.54605,19418.38599625,963814.00460875,944395.6186125,111.48099558125,0.0285643607327853
187,235531.009331835,21699.456,19586.966525,963910.43207375,944323.46554875,111.48099558125,0.0285643607327853
188,235642.490327416,21829.67275,19713.2392125,963929.67360625,944216.43439375,119.497862987225,0.0380682032689343
189,235761.988190403,21915.6298,20052.3310375,963996.75859375,943944.42755625,119.497862987225,0.0380682032689343
190,235881.48605339,22011.91095,20366.527,964063.84358125,943697.31658125,119.497862987225,0.0380682032689343
191,236000.983916378,22118.9355,20676.80885,964129.84659675,943453.03774675,119.497862987225,0.0380682032689343
192,236120.481779365,22229.39485,20891.21999,964194.570724,943303.350734,119.497862987225,0.0380682032689343
193,236239.979642352,22372.2625,21029.712785,964259.29485125,943229.58206625,107.43608250325,0.0300850761467964
194,236347.415724855,22439.58525,21377.6340375,964308.87469375,942931.24065625,107.43608250325,0.0300850761467964
195,236454.851807359,22514.3185,21714.078925,964358.45453625,942644.37561125,107.43608250325,0.0300850761467964
196,236562.287889862,22606.440875,22032.6461125,964408.03437875,942375.38826625,107.43608250325,0.0300850761467964
197,236669.723972365,22726.08225,22255.539255,964456.26177375,942200.72251875,107.43608250325,0.0300850761467964
198,236777.160054868,22862.6775,22347.3409625,964504.05258125,942156.71161875,80.09079537375,0.0398407470193114
199,236857.250850242,22957.36745,22452.9757375,964553.92641875,942100.95068125,80.09079537375,0.0398407470193114
200,236937.341645616,23065.6465,22507.05556,964603.80025625,942096.74469625,80.09079537375,0.0398407470193114
201,237017.43244099,23175.6655,22550.445012,964653.67409375,942103.22908175,80.09079537375,0.0398407470193114
202,237097.523236363,23276.09125,22591.4730375,964703.54793125,942112.07489375,80.09079537375,0.0398407470193114
203,237177.614031737,23386.4215,22615.2828275,964753.42176875,942138.13894125,75.2166851495,0.0383798259989109
204,237252.830716886,23477.3094,22688.89623625,964778.88672875,942089.9904925,75.2166851495,0.0383798259989109
205,237328.047402036,23569.7044,22742.96966375,964804.35168875,942061.382025,75.2166851495,0.0383798259989109
206,237403.264087185,23680.8382,22793.6920225,964829.81664875,942036.12462625,75.2166851495,0.0383798259989109
207,237478.480772335,23776.1392,22837.9006575,964855.28160875,942017.38095125,75.2166851495,0.0383798259989109
208,237553.697457484,23882.07525,22877.85355125,964880.74656875,942002.8930175,77.415135315,0.036345913817422
209,237631.1125928,23969.56475,22939.979106625,964935.70762625,941995.728519625,77.415135315,0.036345913817422
210,237708.527728115,24053.76435,22996.2463325,964990.66868375,941994.42235125,77.415135315,0.036345913817422
211,237785.942863429,24142.66345,23036.31021125,965045.62974125,942009.31953,77.415135315,0.036345913817422
212,237863.357998744,24232.318525,23089.0454725,965100.59079875,942011.54532625,77.415135315,0.036345913817422
213,237940.77313406,24328.09125,23128.24613375,965155.55185625,942027.3057225,48.4900615115,0.0588649565979898
214,237989.263195571,24373.6969,23186.23856625,965196.67100925,942010.432443,48.4900615115,0.0588649565979898
215,238037.753257082,24417.343005,23223.47199,965237.79016225,942014.31817225,48.4900615115,0.0588649565979898
216,238086.243318594,24471.25215,23274.3897825,965278.90931525,942004.51953275,48.4900615115,0.0588649565979898
217,238134.733380105,24518.04965,23316.493515,965320.02846825,942003.53495325,48.4900615115,0.0588649565979898
218,238183.223441617,24571.643225,23342.5655625,965361.14762125,942018.58205875,43.72193671525,0.0661069810176256
219,238226.945378332,24614.39145,23391.6405175,965380.89244875,941989.25193125,43.72193671525,0.0661069810176256
220,238270.667315047,24663.0127,23435.71122875,965400.63727625,941964.9260475,43.72193671525,0.0661069810176256
221,238314.389251763,24714.49003,23465.30448675,965420.38210375,941955.077617,43.72193671525,0.0661069810176256
222,238358.111188478,24760.84275,23487.96008,965440.12693125,941952.16685125,43.72193671525,0.0661069810176256
