"labID","age","error","depth","cc"
691235,1480,30,4.5,1
691236,2285,30,65,1
691255,2645,35,113.5,1
691250,3730,35,172.5,1
691251,4565,35,210,1
691257,5890,40,262.5,1
691261,7750,60,351,1
691259,9700,70,435,1
691258,10010,50,469.5,1
691254,10560,50,553,1
691237,12040,40,622.5,1
691239,12700,50,719,1
691240,13020,50,785.5,1
691241,14300,140,868,1
691242,14390,100,961,1
691243,15030,130,1099.5,1
691244,15660,90,1174,1
691245,15180,60,1286,1
691246,17620,150,1533.5,1
691247,17400,150,1723,1
691249,25520,270,1881.5,1
691252,26370,210,1935,1
691253,27700,170,2054,1
691260,28750,170,2340.5,1
