"labID","age","error","depth","cc"
414596,4,2,0.25,1
414597,17,3,0.75,1
414598,44,6,1.25,1
414599,61,10,1.75,1
414600,83,18,2.25,1
414601,133,28,2.75,1
414602,2663,37,20.5,1
414603,2256,37,30.5,1
414604,2411,37,40.5,1
414605,5080,40,63.5,1
414606,4640,38,72.5,1
414607,3590,40,99.5,1
414608,3571,40,101.5,1
414609,5555,38,128.5,1
414610,6878,39,152.5,1
414611,7039,39,172.5,1
414612,5460,40,179.5,1
414613,7304,37,200.5,1
414614,6250,40,223.5,1
414615,8661,44,228.5,1
414616,6780,50,239.5,1
414617,10212,45,254.5,1
414618,9738,43,284.5,1
414619,9440,50,289.5,1
414620,9200,50,297.5,1
414621,10213,45,300.5,1
414622,10610,44,314.5,1
